TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,4,1,Learn,Trivia,Learn,0.674999952316,Do you like tattoos,Do you like pop music,Do you like tattoos,1.01900005341,N/A,0.684000015259,I like tattoos
2,2,4,Learn,Trivia,Trivia,0.702999830246,Culture,Geography,Culture,1.12299990654,N/A,1.23600006104,China has more English speakers than the United States.
3,4,3,Share,Trivia,Share,0.69000005722,Whether I like Japanese comic books,Whether I like my job,Whether I like Japanese comic books,0.77999997139,1.57595978086,N/A,N/A
4,4,3,Share,Trivia,Trivia,0.618999958038,Film/Movies,Animals,Animals,0.975999832153,N/A,0.388999938965,An iguana can stay under water for 28 minutes.
5,4,3,Share,Learn,Share,0.716000080109,How much I love live music,Whether I like hiking,How much I love live music,1.69099998474,2.52862669033,N/A,N/A
6,2,1,Share,Learn,Share,1.0039999485,Whether I have an instagram account,Whether I like going to the movies,Whether I have an instagram account,0.815999984741,2.54798907145,N/A,N/A
7,4,1,Share,Trivia,Trivia,1.29999995232,Science,Film/Movies,Film/Movies,0.600000143051,N/A,2.3109998703,"For the 1939 movie ""Gone with the Wind"" 1,400 actresses were interviewed for the part of Scarlett."
8,2,2,Share,Trivia,Trivia,1.23600006104,Animals,Animals,Animals,0.55999994278,N/A,0.422000169754,A lionâ€™s roar can be heard from 5 miles away!
9,4,4,Share,Learn,Learn,0.890999794006,Do you have an iPhone,Do you have hobbies,Do you have hobbies,0.907999992371,N/A,0.81500005722,I have many hobbies
